COLUMN_NAME,TYPE_NAME,IS_NULLABLE,DECIMAL_DIGITS,COLUMN_SIZE,COLUMN_DEF,REMARKS,DATA_TYPE,BUFFER_LENGTH,NUM_PREC_RADIX,NULLABLE,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,ORDINAL_POSITION
IDMOTIVATION,INTEGER,NO,0,10,,,4,,10,0,,,,1
SUPPLIER,VARCHAR,YES,,45,NULL,,12,,,1,,,90,2
AMOUNT,VARCHAR,YES,,45,NULL,,12,,,1,,,90,3
COSTCENTER,VARCHAR,YES,,45,NULL,,12,,,1,,,90,4
MOTIVATION,VARCHAR,YES,,255,NULL,,12,,,1,,,510,5
BUDGET,INTEGER,YES,0,10,NULL,,4,,10,1,,,,6
RECOMMENDED,VARCHAR,YES,,45,NULL,,12,,,1,,,90,7
REQUESTEDBY,VARCHAR,YES,,45,NULL,,12,,,1,,,90,8
