COLUMN_NAME,TYPE_NAME,IS_NULLABLE,DECIMAL_DIGITS,COLUMN_SIZE,COLUMN_DEF,REMARKS,DATA_TYPE,BUFFER_LENGTH,NUM_PREC_RADIX,NULLABLE,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,ORDINAL_POSITION
IDTRAVELDOCUMENTS,INTEGER,NO,0,10,AUTOINCREMENT: start 1 increment 1,,4,,10,0,,,,1
PASSPORTNUMBER,VARCHAR,YES,,12,NULL,,12,,,1,,,24,2
COUNTRY,VARCHAR,YES,,45,NULL,,12,,,1,,,90,3
DATEOFISSUE,TIMESTAMP,YES,6,26,NULL,,93,,10,1,,,,4
EXPIRYDATE,TIMESTAMP,YES,6,26,NULL,,93,,10,1,,,,5
VALIDVISA,VARCHAR,YES,,45,NULL,,12,,,1,,,90,6
TRAVLERPROFILE_IDTRAVLERPROFILE,INTEGER,NO,0,10,,,4,,10,0,,,,7
