COLUMN_NAME,TYPE_NAME,IS_NULLABLE,DECIMAL_DIGITS,COLUMN_SIZE,COLUMN_DEF,REMARKS,DATA_TYPE,BUFFER_LENGTH,NUM_PREC_RADIX,NULLABLE,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,ORDINAL_POSITION
IDCARQUOTES,INTEGER,NO,0,10,,,4,,10,0,,,,1
DATECOLLECT,TIMESTAMP,YES,6,26,NULL,,93,,10,1,,,,2
DATERETURN,TIMESTAMP,YES,6,26,NULL,,93,,10,1,,,,3
PROVIDER,VARCHAR,YES,,45,NULL,,12,,,1,,,90,4
DISCRITPTION,VARCHAR,YES,,45,NULL,,12,,,1,,,90,5
QUOTECOST,VARCHAR,YES,,45,NULL,,12,,,1,,,90,6
QUOTES_IDQUOTES,INTEGER,NO,0,10,,,4,,10,0,,,,7
