COLUMN_NAME,TYPE_NAME,IS_NULLABLE,DECIMAL_DIGITS,COLUMN_SIZE,COLUMN_DEF,REMARKS,DATA_TYPE,BUFFER_LENGTH,NUM_PREC_RADIX,NULLABLE,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,ORDINAL_POSITION
IDFINALCOSTING,INTEGER,NO,0,10,AUTOINCREMENT: start 1 increment 1,,4,,10,0,,,,1
AIRFAREBUDGET,DOUBLE,YES,,52,NULL,,8,,2,1,,,,2
AIRFARECOST,DOUBLE,YES,,52,NULL,,8,,2,1,,,,3
CARRENTALBUDGET,DOUBLE,YES,,52,NULL,,8,,2,1,,,,4
CARRENTALCOST,DOUBLE,YES,,52,NULL,,8,,2,1,,,,5
ACCOMMODATIONBUDGET,DOUBLE,YES,,52,NULL,,8,,2,1,,,,6
ACCOMMODATIONCOST,DOUBLE,YES,,52,NULL,,8,,2,1,,,,7
QUOTES_IDQUOTES,INTEGER,NO,0,10,,,4,,10,0,,,,8
