COLUMN_NAME,TYPE_NAME,IS_NULLABLE,DECIMAL_DIGITS,COLUMN_SIZE,COLUMN_DEF,REMARKS,DATA_TYPE,BUFFER_LENGTH,NUM_PREC_RADIX,NULLABLE,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,ORDINAL_POSITION
IDREWARDSPROGRAM,INTEGER,NO,0,10,AUTOINCREMENT: start 1 increment 1,,4,,10,0,,,,1
DESCRIPTION,VARCHAR,YES,,100,NULL,,12,,,1,,,200,2
MEMBERSHIPTYPE,VARCHAR,YES,,45,NULL,,12,,,1,,,90,3
PROVIDER,VARCHAR,YES,,45,NULL,,12,,,1,,,90,4
MEMBERSHIPNUMBER,VARCHAR,YES,,45,NULL,,12,,,1,,,90,5
TRAVELERPROFILE_IDTRAVELERPROFILE,INTEGER,NO,0,10,,,4,,10,0,,,,6
