COLUMN_NAME,TYPE_NAME,IS_NULLABLE,DECIMAL_DIGITS,COLUMN_SIZE,COLUMN_DEF,REMARKS,DATA_TYPE,BUFFER_LENGTH,NUM_PREC_RADIX,NULLABLE,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,ORDINAL_POSITION
IDACCOUNT,INTEGER,NO,0,10,AUTOINCREMENT: start 1 increment 1,,4,,10,0,,,,1
ACCOUNT,VARCHAR,NO,,45,,,12,,,0,,,90,2
PASSWORD,VARCHAR,NO,,512,,,12,,,0,,,1024,3
SALT,VARCHAR,YES,,45,NULL,,12,,,1,,,90,4
DATECREATED,TIMESTAMP,YES,6,26,NULL,,93,,10,1,,,,5
DATELOGIN,TIMESTAMP,YES,6,26,NULL,,93,,10,1,,,,6
