COLUMN_NAME,TYPE_NAME,IS_NULLABLE,DECIMAL_DIGITS,COLUMN_SIZE,COLUMN_DEF,REMARKS,DATA_TYPE,BUFFER_LENGTH,NUM_PREC_RADIX,NULLABLE,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,ORDINAL_POSITION
IDSESSIONS,INTEGER,NO,0,10,AUTOINCREMENT: start 1 increment 1,,4,,10,0,,,,1
ACCOUNTID,INTEGER,NO,0,10,,,4,,10,0,,,,2
DATE,TIMESTAMP,YES,6,26,NULL,,93,,10,1,,,,3
EXPIRES,TIMESTAMP,YES,6,26,NULL,,93,,10,1,,,,4
