COLUMN_NAME,TYPE_NAME,IS_NULLABLE,DECIMAL_DIGITS,COLUMN_SIZE,COLUMN_DEF,REMARKS,DATA_TYPE,BUFFER_LENGTH,NUM_PREC_RADIX,NULLABLE,SQL_DATA_TYPE,SQL_DATETIME_SUB,CHAR_OCTET_LENGTH,ORDINAL_POSITION
IDITINERARY,INTEGER,NO,0,10,AUTOINCREMENT: start 1 increment 1,,4,,10,0,,,,1
DATE,TIMESTAMP,YES,6,26,NULL,,93,,10,1,,,,2
DATEFROM,TIMESTAMP,YES,6,26,NULL,,93,,10,1,,,,3
DATETO,TIMESTAMP,YES,6,26,NULL,,93,,10,1,,,,4
LEAVETYPE,VARCHAR,YES,,45,NULL,,12,,,1,,,90,5
LEAVEDISCRITPTION,VARCHAR,YES,,45,NULL,,12,,,1,,,90,6
TRAVELDAY,VARCHAR,YES,,45,NULL,,12,,,1,,,90,7
TRAVEL_IDTRAVEL,INTEGER,NO,0,10,,,4,,10,0,,,,8
DESTINATION,VARCHAR,YES,,45,NULL,,12,,,1,,,90,9
